user_id,synthetic_profile,cancelled_limit_recently
U000001,low,0
U000002,low,0
U000003,medium,0
U000004,low,0
U000005,low,0
U000006,high,0
U000007,low,0
U000008,low,0
U000009,low,0
U000010,low,0
U000011,low,0
U000012,medium,0
U000013,low,0
U000014,medium,0
U000015,low,0
U000016,low,0
U000017,low,0
U000018,low,0
U000019,medium,0
U000020,low,0
U000021,low,0
U000022,low,0
U000023,high,0
U000024,medium,0
U000025,low,0
U000026,low,0
U000027,low,0
U000028,low,0
U000029,low,0
U000030,low,0
U000031,low,0
U000032,high,0
U000033,low,0
U000034,low,0
U000035,low,0
U000036,low,0
U000037,low,0
U000038,low,0
U000039,low,0
U000040,low,0
U000041,low,0
U000042,medium,0
U000043,low,0
U000044,low,0
U000045,medium,0
U000046,low,0
U000047,low,0
U000048,low,0
U000049,low,0
U000050,low,0
U000051,low,0
U000052,low,0
U000053,low,0
U000054,low,0
U000055,low,0
U000056,low,0
U000057,low,0
U000058,low,0
U000059,low,0
U000060,low,0
U000061,low,0
U000062,low,0
U000063,low,0
U000064,low,0
U000065,low,0
U000066,low,0
U000067,low,0
U000068,low,0
U000069,low,0
U000070,low,0
U000071,low,0
U000072,low,0
U000073,medium,0
U000074,low,0
U000075,low,0
U000076,low,0
U000077,low,0
U000078,low,0
U000079,low,0
U000080,low,0
U000081,low,0
U000082,low,0
U000083,low,0
U000084,low,0
U000085,low,0
U000086,low,0
U000087,low,0
U000088,low,0
U000089,low,0
U000090,low,0
U000091,low,0
U000092,low,0
U000093,low,0
U000094,low,0
U000095,low,0
U000096,low,0
U000097,low,0
U000098,low,0
U000099,low,0
U000100,high,1
U000101,medium,0
U000102,low,0
U000103,low,0
U000104,high,0
U000105,low,0
U000106,low,0
U000107,low,0
U000108,low,0
U000109,low,0
U000110,medium,0
U000111,low,0
U000112,low,0
U000113,low,0
U000114,low,0
U000115,low,0
U000116,medium,0
U000117,low,0
U000118,low,0
U000119,low,0
U000120,low,0
U000121,low,0
U000122,low,0
U000123,low,0
U000124,low,0
U000125,low,0
U000126,low,0
U000127,low,0
U000128,low,0
U000129,low,0
U000130,low,0
U000131,low,0
U000132,medium,0
U000133,low,0
U000134,low,0
U000135,low,0
U000136,low,0
U000137,medium,0
U000138,low,0
U000139,low,0
U000140,low,0
U000141,low,0
U000142,low,0
U000143,medium,0
U000144,low,0
U000145,low,0
U000146,low,0
U000147,low,0
U000148,low,0
U000149,low,0
U000150,low,0
U000151,medium,0
U000152,medium,0
U000153,low,0
U000154,low,0
U000155,low,0
U000156,low,0
U000157,low,0
U000158,low,0
U000159,low,0
U000160,low,0
U000161,low,0
U000162,medium,0
U000163,low,0
U000164,low,0
U000165,low,0
U000166,low,0
U000167,medium,0
U000168,low,0
U000169,low,0
U000170,medium,0
U000171,low,0
U000172,low,0
U000173,low,0
U000174,medium,0
U000175,low,0
U000176,low,0
U000177,low,0
U000178,high,0
U000179,medium,0
U000180,low,0
U000181,medium,0
U000182,medium,0
U000183,low,0
U000184,low,0
U000185,low,0
U000186,low,0
U000187,low,0
U000188,low,0
U000189,low,0
U000190,low,0
U000191,medium,0
U000192,low,0
U000193,low,0
U000194,medium,0
U000195,low,0
U000196,low,0
U000197,low,0
U000198,medium,0
U000199,low,0
U000200,low,0
U000201,low,0
U000202,high,0
U000203,low,0
U000204,low,0
U000205,low,0
U000206,low,0
U000207,low,0
U000208,low,0
U000209,low,0
U000210,low,0
U000211,low,0
U000212,low,0
U000213,low,0
U000214,low,0
U000215,low,0
U000216,low,0
U000217,low,0
U000218,low,0
U000219,medium,0
U000220,low,0
U000221,low,0
U000222,low,0
U000223,low,0
U000224,medium,0
