user_id,age_band,province,registration_date,channel_preference,limit_configured,marketing_opt_in,self_excluded
U000001,56-65,Almería,2024-06-10,online,0,1,0
U000002,26-35,Málaga,2024-06-03,online,0,1,0
U000003,46-55,Valencia,2023-05-28,online,1,0,0
U000004,26-35,Almería,2023-01-27,online,1,0,0
U000005,26-35,Málaga,2023-08-10,online,0,0,0
U000006,36-45,Madrid,2023-04-25,online,1,0,0
U000007,56-65,Madrid,2023-10-16,online,0,0,0
U000008,18-25,Granada,2024-12-15,retail,0,1,0
U000009,36-45,Barcelona,2023-05-13,online,0,1,0
U000010,26-35,Valencia,2023-08-21,online,0,1,0
U000011,18-25,Almería,2024-06-13,retail,1,1,0
U000012,65+,Barcelona,2024-01-07,online,1,1,0
U000013,36-45,Murcia,2023-02-02,online,1,1,0
U000014,18-25,Murcia,2023-04-29,online,0,1,0
U000015,56-65,Almería,2024-11-13,online,0,1,0
U000016,18-25,Barcelona,2023-03-17,online,0,0,0
U000017,26-35,Alicante,2024-04-08,online,1,1,0
U000018,65+,Almería,2024-08-01,online,1,0,0
U000019,36-45,Valencia,2023-07-13,retail,0,1,0
U000020,26-35,Murcia,2024-06-13,online,0,0,0
U000021,36-45,Granada,2023-05-05,online,1,1,0
U000022,46-55,Almería,2023-07-27,online,0,1,0
U000023,26-35,Almería,2023-08-16,online,1,0,0
U000024,46-55,Málaga,2024-12-28,retail,0,1,0
U000025,46-55,Valencia,2023-06-06,retail,1,0,0
U000026,46-55,Madrid,2023-04-05,online,1,0,0
U000027,36-45,Barcelona,2024-11-06,online,1,1,0
U000028,56-65,Málaga,2023-04-29,retail,1,1,0
U000029,36-45,Murcia,2024-10-03,retail,1,0,0
U000030,46-55,Almería,2024-04-19,online,0,1,0
U000031,26-35,Alicante,2024-02-26,online,0,0,0
U000032,65+,Alicante,2024-07-02,retail,0,1,0
U000033,46-55,Málaga,2024-06-13,online,0,0,0
U000034,46-55,Murcia,2023-03-22,retail,1,0,0
U000035,56-65,Málaga,2024-12-30,online,0,0,0
U000036,26-35,Granada,2024-11-18,retail,0,1,0
U000037,26-35,Málaga,2024-10-16,retail,0,1,0
U000038,46-55,Madrid,2024-03-30,retail,0,1,0
U000039,18-25,Murcia,2024-01-17,online,0,1,0
U000040,26-35,Alicante,2024-01-27,online,1,1,0
U000041,26-35,Valencia,2023-01-11,online,1,0,0
U000042,56-65,Granada,2023-12-31,online,1,1,0
U000043,46-55,Alicante,2024-03-31,retail,1,1,0
U000044,18-25,Murcia,2024-04-25,retail,1,0,0
U000045,18-25,Almería,2023-08-31,online,0,1,0
U000046,26-35,Barcelona,2023-12-11,retail,0,0,0
U000047,26-35,Madrid,2024-04-09,online,1,0,0
U000048,36-45,Almería,2023-11-09,retail,1,0,0
U000049,26-35,Barcelona,2024-12-03,online,0,1,0
U000050,56-65,Granada,2024-05-29,online,1,1,0
U000051,26-35,Málaga,2023-01-01,retail,0,0,0
U000052,18-25,Almería,2023-01-17,retail,1,1,0
U000053,26-35,Barcelona,2024-05-18,retail,0,1,0
U000054,18-25,Valencia,2023-10-29,online,0,1,0
U000055,26-35,Almería,2024-09-04,online,1,0,0
U000056,18-25,Málaga,2023-05-07,online,0,0,0
U000057,18-25,Granada,2023-01-11,online,1,0,0
U000058,26-35,Alicante,2023-10-11,online,0,0,0
U000059,18-25,Almería,2024-06-21,online,1,1,0
U000060,36-45,Granada,2024-12-10,online,1,1,0
U000061,36-45,Madrid,2024-10-07,retail,0,0,0
U000062,56-65,Madrid,2023-12-20,online,0,0,0
U000063,46-55,Almería,2024-08-16,online,1,1,0
U000064,65+,Alicante,2023-02-21,retail,0,1,0
U000065,26-35,Madrid,2024-02-22,online,1,0,0
U000066,26-35,Almería,2024-11-05,online,0,1,0
U000067,26-35,Granada,2023-10-17,online,0,0,0
U000068,36-45,Barcelona,2024-12-01,retail,1,0,0
U000069,46-55,Alicante,2023-06-11,online,0,1,0
U000070,56-65,Málaga,2023-03-19,online,1,1,0
U000071,26-35,Valencia,2024-01-19,online,0,0,0
U000072,26-35,Murcia,2024-10-24,retail,1,1,0
U000073,46-55,Barcelona,2023-08-16,online,0,1,0
U000074,46-55,Valencia,2024-08-07,online,1,0,0
U000075,46-55,Madrid,2023-05-04,retail,0,1,0
U000076,65+,Valencia,2024-06-28,online,0,1,0
U000077,56-65,Málaga,2024-02-11,retail,0,0,0
U000078,36-45,Málaga,2023-05-08,retail,0,1,0
U000079,56-65,Madrid,2024-06-08,online,1,1,0
U000080,36-45,Granada,2024-06-05,online,0,1,0
U000081,46-55,Barcelona,2024-01-12,retail,1,1,0
U000082,46-55,Alicante,2023-06-14,retail,1,0,0
U000083,26-35,Madrid,2023-04-07,online,0,1,0
U000084,18-25,Alicante,2024-11-29,online,1,0,0
U000085,26-35,Madrid,2024-04-23,retail,0,1,0
U000086,18-25,Valencia,2024-08-13,online,0,1,0
U000087,26-35,Barcelona,2024-05-23,retail,0,1,0
U000088,36-45,Almería,2024-08-28,online,0,1,0
U000089,18-25,Málaga,2023-04-29,online,1,1,0
U000090,18-25,Valencia,2023-12-29,online,0,1,0
U000091,36-45,Valencia,2024-05-02,online,0,0,0
U000092,36-45,Murcia,2023-03-17,online,1,0,0
U000093,36-45,Almería,2023-04-20,retail,1,1,0
U000094,26-35,Granada,2024-04-07,online,0,1,0
U000095,26-35,Valencia,2024-09-26,online,0,1,0
U000096,18-25,Alicante,2024-04-27,online,1,1,0
U000097,36-45,Almería,2023-01-27,online,1,1,0
U000098,46-55,Granada,2024-12-09,online,0,1,0
U000099,56-65,Granada,2023-04-12,online,0,1,1
U000100,36-45,Valencia,2023-06-19,online,1,0,0
U000101,36-45,Alicante,2024-12-12,online,1,0,0
U000102,46-55,Granada,2024-07-16,online,1,1,0
U000103,56-65,Madrid,2024-11-14,online,1,1,0
U000104,46-55,Almería,2024-08-11,online,0,1,0
U000105,65+,Murcia,2024-04-20,online,1,1,0
U000106,36-45,Madrid,2023-07-27,retail,1,1,0
U000107,36-45,Alicante,2023-08-27,online,1,0,0
U000108,26-35,Valencia,2024-11-22,online,1,1,0
U000109,65+,Granada,2024-09-20,online,0,1,0
U000110,65+,Granada,2023-09-20,online,0,1,0
U000111,36-45,Valencia,2023-09-30,online,0,1,0
U000112,46-55,Madrid,2023-08-06,online,0,1,0
U000113,36-45,Málaga,2023-08-27,online,0,0,0
